time	V(n002)	I(R2)
1.479236318001613e-001	6.503415e-001	-4.746314e-007
1.481452608863262e-001	5.813012e-001	-1.742522e-007
1.483776926828466e-001	5.087272e-001	-5.186644e-008
1.487593227655198e-001	3.893152e-001	8.697783e-009
1.491884813746098e-001	2.547964e-001	2.712399e-008
1.495990805806282e-001	1.259222e-001	3.154195e-008
1.500873618306282e-001	-2.743208e-002	3.427400e-008
1.505756430806282e-001	-1.807542e-001	3.694151e-008
1.510639243306282e-001	-3.339053e-001	4.447151e-008
1.515522055806282e-001	-4.867879e-001	8.697021e-008
1.518279501240075e-001	-5.729175e-001	2.183053e-007
1.521136901491242e-001	-6.618431e-001	8.541019e-007
1.524896907769954e-001	-7.780033e-001	4.349174e-006
1.528373581609004e-001	-8.835198e-001	1.536712e-005
1.530862174484204e-001	-9.558991e-001	3.773659e-005
1.533090326821466e-001	-1.015257e+000	8.388139e-005
1.535559592615850e-001	-1.072018e+000	1.789000e-004
1.538077775109648e-001	-1.117220e+000	3.375947e-004
1.542435891724016e-001	-1.172858e+000	7.214345e-004
1.547318704224016e-001	-1.215838e+000	1.242871e-003
1.552201516724016e-001	-1.245479e+000	1.824272e-003
1.557084329224016e-001	-1.267362e+000	2.436890e-003
1.566849954224016e-001	-1.298630e+000	3.699161e-003
1.573825400652588e-001	-1.313862e+000	4.617587e-003
1.580800847081159e-001	-1.327526e+000	5.517857e-003
1.587776293509730e-001	-1.339625e+000	6.399972e-003
1.594751739938302e-001	-1.350156e+000	7.263931e-003
1.601727186366873e-001	-1.359121e+000	8.109734e-003
1.608702632795445e-001	-1.366520e+000	8.937382e-003
1.615678079224016e-001	-1.372352e+000	9.746874e-003
1.630326516724016e-001	-1.384234e+000	1.133382e-002
1.644974954224016e-001	-1.393805e+000	1.277779e-002
1.659623391724016e-001	-1.401549e+000	1.406373e-002
1.674271829224016e-001	-1.407776e+000	1.517889e-002
1.688920266724016e-001	-1.412689e+000	1.611254e-002
1.703568704224016e-001	-1.416429e+000	1.685587e-002
1.718217141724016e-001	-1.419086e+000	1.740197e-002
1.732865579224016e-001	-1.420723e+000	1.774579e-002
1.747514016724016e-001	-1.421375e+000	1.788419e-002
1.762162454224016e-001	-1.421054e+000	1.781590e-002
1.776810891724016e-001	-1.419754e+000	1.754154e-002
1.791459329224016e-001	-1.417448e+000	1.706363e-002
1.806107766724016e-001	-1.414085e+000	1.638656e-002
1.820756204224016e-001	-1.409583e+000	1.551662e-002
1.835404641724016e-001	-1.403821e+000	1.446197e-002
1.850053079224016e-001	-1.396621e+000	1.323266e-002
1.864701516724016e-001	-1.387713e+000	1.184077e-002
1.879349954224016e-001	-1.376685e+000	1.030050e-002
1.893998391724016e-001	-1.362864e+000	8.628733e-003
1.908646829224016e-001	-1.345068e+000	6.846116e-003
1.912832097081159e-001	-1.339430e+000	6.316744e-003
1.917017364938302e-001	-1.332803e+000	5.784312e-003
1.921202632795445e-001	-1.325187e+000	5.248822e-003
1.925387900652588e-001	-1.316581e+000	4.710272e-003
1.929573168509730e-001	-1.306987e+000	4.168664e-003
1.933758436366873e-001	-1.296403e+000	3.623996e-003
1.937943704224016e-001	-1.284830e+000	3.076269e-003
1.942826516724016e-001	-1.267712e+000	2.448246e-003
1.947709329224016e-001	-1.245937e+000	1.835238e-003
1.952592141724016e-001	-1.216481e+000	1.253044e-003
1.957474954224016e-001	-1.173045e+000	7.338436e-004
1.962357766724016e-001	-1.108503e+000	3.145047e-004
1.965270841056070e-001	-1.052167e+000	1.506596e-004
1.968899465616739e-001	-9.624256e-001	4.186087e-005
1.970246478929233e-001	-9.249259e-001	2.176867e-005
1.971835588449910e-001	-8.778754e-001	1.151402e-005
1.973431613692506e-001	-8.296013e-001	5.881282e-006
1.975088492931823e-001	-7.788064e-001	2.965191e-006
1.977210478505581e-001	-7.132450e-001	1.195479e-006
1.978924705613389e-001	-6.600326e-001	5.451356e-007
1.981185631907581e-001	-5.896266e-001	1.986023e-007
1.983370135298814e-001	-5.214377e-001	6.547958e-008
1.987201513703748e-001	-4.015836e-001	-5.066243e-009
1.991207634911927e-001	-2.760434e-001	-2.610455e-008
1.994985543950844e-001	-1.574873e-001	-3.088718e-008
1.999868356450844e-001	-4.141480e-003	-3.373763e-008
2.004751168950844e-001	1.491978e-001	-3.636577e-008
2.009633981450844e-001	3.023963e-001	-4.113789e-008
2.014516793950844e-001	4.553595e-001	-6.373341e-008
2.017120061979741e-001	5.367412e-001	-1.345382e-007
2.019860400436256e-001	6.221842e-001	-4.168498e-007
2.022666393007776e-001	7.093399e-001	-1.417204e-006
2.025599969907631e-001	7.997274e-001	-4.948963e-006
2.028454028273478e-001	8.860909e-001	-1.503180e-005
2.030782885539105e-001	9.537554e-001	-3.625177e-005
2.032994408761619e-001	1.012899e+000	-8.093976e-005
2.035413265437292e-001	1.069016e+000	-1.715042e-004
2.037912284768325e-001	1.114663e+000	-3.251594e-004
2.042064217104643e-001	1.169002e+000	-6.844488e-004
2.046947029604643e-001	1.213116e+000	-1.200652e-003
2.051829842104643e-001	1.243550e+000	-1.778641e-003
2.056712654604643e-001	1.265888e+000	-2.389580e-003
2.071361092104643e-001	1.309676e+000	-4.286613e-003
2.079034083176072e-001	1.324250e+000	-5.292395e-003
2.086707074247500e-001	1.337328e+000	-6.272133e-003
2.094380065318929e-001	1.348909e+000	-7.225827e-003
2.102053056390357e-001	1.358994e+000	-8.153475e-003
2.109726047461786e-001	1.367583e+000	-9.055079e-003
2.117399038533215e-001	1.374675e+000	-9.930639e-003
2.125072029604643e-001	1.380271e+000	-1.078015e-002
2.139720467104643e-001	1.390603e+000	-1.227727e-002
2.154368904604643e-001	1.398959e+000	-1.362148e-002
2.169017342104643e-001	1.405702e+000	-1.479924e-002
2.183665779604643e-001	1.411068e+000	-1.579911e-002
2.198314217104643e-001	1.415216e+000	-1.661160e-002
2.212962654604643e-001	1.418253e+000	-1.722912e-002
2.227611092104643e-001	1.420251e+000	-1.764596e-002
2.242259529604643e-001	1.421253e+000	-1.785830e-002
2.256907967104643e-001	1.421281e+000	-1.786418e-002
2.271556404604643e-001	1.420334e+000	-1.766354e-002
2.286204842104643e-001	1.418394e+000	-1.725823e-002
2.300853279604643e-001	1.415417e+000	-1.665198e-002
2.315501717104643e-001	1.411335e+000	-1.585039e-002
2.330150154604643e-001	1.406043e+000	-1.486093e-002
2.344798592104643e-001	1.399383e+000	-1.369299e-002
2.359447029604643e-001	1.391126e+000	-1.235790e-002
2.374095467104643e-001	1.380920e+000	-1.086907e-002
2.388743904604643e-001	1.368202e+000	-9.242333e-003
2.403392342104643e-001	1.352019e+000	-7.496776e-003
2.418040779604643e-001	1.330567e+000	-5.656878e-003
2.432689217104643e-001	1.299836e+000	-3.759169e-003
2.437572029604643e-001	1.285993e+000	-3.124418e-003
2.442454842104643e-001	1.269153e+000	-2.495660e-003
2.447337654604643e-001	1.247813e+000	-1.881082e-003
2.452220467104643e-001	1.219105e+000	-1.295700e-003
2.457103279604643e-001	1.177075e+000	-7.699743e-004
2.461986092104643e-001	1.114726e+000	-3.401032e-004
2.464970694851665e-001	1.058545e+000	-1.647541e-004
2.468686368187530e-001	9.681001e-001	-4.628413e-005
2.470191055111890e-001	9.264883e-001	-2.249889e-005
2.471778521279645e-001	8.795621e-001	-1.189279e-005
2.473544882801993e-001	8.261192e-001	-5.726014e-006
2.475317567634586e-001	7.717426e-001	-2.725357e-006
2.477491005274549e-001	7.045466e-001	-1.063607e-006
2.479238392092445e-001	6.502773e-001	-4.730278e-007
2.481475300937836e-001	5.805932e-001	-1.726033e-007
2.483790217100942e-001	5.083033e-001	-5.395442e-008
2.488420049427153e-001	3.633960e-001	1.118350e-008
2.493282404663179e-001	2.109332e-001	2.885272e-008
2.498165217163179e-001	5.763312e-002	3.280087e-008
2.503048029663179e-001	-9.572121e-002	3.543427e-008
2.507930842163179e-001	-2.489854e-001	3.848763e-008
2.512813654663179e-001	-4.020612e-001	4.677153e-008
2.515420097122740e-001	-4.836344e-001	7.292539e-008
2.517848897106368e-001	-5.594986e-001	1.686377e-007
2.520283448442623e-001	-6.353660e-001	4.714848e-007
2.522864499950840e-001	-7.153974e-001	1.839599e-006
2.526938018158381e-001	-8.403338e-001	9.115119e-006
